"last_name, first_name",player_id,year,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Abbott, Andrew",671096,2024,CIN,FF,4-Seam Fastball,0.1,1,1249,53.5,317,0.254,0.451,0.36,19.4,18.3,16.1,0.266,0.463,0.367,43.2
"Abreu, Bryan",650556,2024,HOU,FF,4-Seam Fastball,-0.2,-1,603,46.4,140,0.262,0.5,0.375,28.3,24.3,23.9,0.239,0.448,0.341,47.2
"Adam, Jason",592094,2024,SD,FF,4-Seam Fastball,1.5,6,415,37.4,93,0.167,0.286,0.257,26.5,16.1,13.9,0.228,0.417,0.307,47.1
"Adams, Austin",613534,2024,OAK,FF,4-Seam Fastball,0.2,0,192,23.9,24,0.263,0.842,0.471,23.9,4.2,5,0.21,0.566,0.391,42.1
"Adon, Joan",672851,2024,WSH,FF,4-Seam Fastball,1.9,1,66,37.1,17,0.214,0.214,0.282,6.3,5.9,6.7,0.198,0.227,0.28,23.1
"Akin, Keegan",669211,2024,BAL,FF,4-Seam Fastball,0.4,3,695,56,180,0.215,0.392,0.291,28.1,30,24.4,0.189,0.34,0.271,41.8
"Alcala, Jorge",660896,2024,MIN,FF,4-Seam Fastball,0.4,2,412,44.3,88,0.224,0.513,0.36,29.8,21.6,16.8,0.211,0.461,0.34,49.1
"Aldegheri, Sam",691951,2024,LAA,FF,4-Seam Fastball,-5.7,-7,126,56.8,40,0.313,0.531,0.456,19.4,10,22.2,0.27,0.491,0.379,51.7
"Alexander, Tyler",641302,2024,TB,FF,4-Seam Fastball,-0.4,-2,372,22.3,106,0.232,0.495,0.332,24.4,26.4,19.9,0.239,0.449,0.327,44.9
"Allard, Kolby",663465,2024,PHI,FF,4-Seam Fastball,-2,-3,175,40.1,40,0.333,0.611,0.43,16.2,20,14.3,0.264,0.463,0.348,39.3
"Allen, Logan",671106,2024,CLE,FF,4-Seam Fastball,-1.4,-11,806,48.4,207,0.342,0.609,0.429,14.7,15,16.8,0.313,0.566,0.406,49.4
"Allen, Logan",663531,2024,AZ,FF,4-Seam Fastball,-5.2,-5,88,18.7,18,0.563,0.875,0.628,13.2,16.7,10.7,0.513,0.831,0.589,69.2
"Altavilla, Dan",656186,2024,KC,FF,4-Seam Fastball,-4.7,-2,48,57.8,16,0.333,0.583,0.469,30.4,25,44.4,0.27,0.569,0.44,50
"Alzolay, Adbert",640470,2024,CHC,FF,4-Seam Fastball,0.8,1,67,20.4,12,0.273,0.364,0.313,21.4,16.7,9.5,0.207,0.329,0.267,44.4
"Anderson, Chase",502624,2024,TEX,FF,4-Seam Fastball,-5.1,-8,151,14.9,38,0.367,0.6,0.499,22.2,21.1,13.3,0.316,0.568,0.444,72.7
"Anderson, Grant",681982,2024,TEX,FF,4-Seam Fastball,-8.3,-11,133,27.5,35,0.344,1.094,0.594,34.3,28.6,22.2,0.284,0.778,0.463,50
"Anderson, Justin",605121,2024,CWS,FF,4-Seam Fastball,1,3,308,32.6,79,0.188,0.281,0.299,25.6,19,14.4,0.226,0.401,0.341,40
"Anderson, Nick",623433,2024,KC,FF,4-Seam Fastball,-2.9,-4,129,22.5,35,0.4,0.867,0.554,18.8,14.3,14.3,0.369,0.8,0.519,64
"Anderson, Shaun",641312,2024,MIA,FF,4-Seam Fastball,-3.3,-2,74,30.3,26,0.435,0.609,0.488,17.6,11.5,18.8,0.342,0.504,0.385,38.1
"Anderson, Tyler",542881,2024,LAA,FF,4-Seam Fastball,-1.1,-12,1154,39.6,289,0.272,0.494,0.376,18.3,15.2,15.2,0.272,0.498,0.368,42.3
"Andriese, Matt",542882,2024,MIA,FF,4-Seam Fastball,1.5,1,36,40.9,11,0.182,0.545,0.295,19,45.5,31.3,0.193,0.553,0.306,66.7
"Armstrong, Shawn",542888,2024,CHC,FF,4-Seam Fastball,0.6,2,368,33.2,101,0.198,0.341,0.276,33.3,38.6,24.8,0.225,0.422,0.318,44.2
"Arrighetti, Spencer",681293,2024,HOU,FF,4-Seam Fastball,-1,-10,1028,41,253,0.303,0.528,0.396,19.8,20.9,17.2,0.274,0.483,0.371,52.1
"Assad, Javier",665871,2024,CHC,FF,4-Seam Fastball,0,0,402,15.8,84,0.319,0.472,0.377,20.1,23.8,16.3,0.291,0.446,0.356,49.1
"Avila, Nick",687014,2024,SF,FF,4-Seam Fastball,1,1,78,34.7,17,0.2,0.467,0.297,33.3,52.9,25,0.197,0.465,0.342,75
"Avila, Pedro",658648,2024,CLE,FF,4-Seam Fastball,0.7,4,556,39.2,135,0.246,0.421,0.335,18.6,19.3,18.3,0.271,0.454,0.359,46.7
"Bachar, Lake",669199,2024,MIA,FF,4-Seam Fastball,-0.3,0,77,47.8,22,0.3,0.65,0.425,25.6,18.2,22.2,0.264,0.463,0.347,43.8
"Baker, Bryan",641329,2024,BAL,FF,4-Seam Fastball,-1.5,-3,180,48.6,45,0.286,0.571,0.382,30.2,33.3,23.8,0.235,0.393,0.297,55.6
"Banda, Anthony",607455,2024,LAD,FF,4-Seam Fastball,1.2,3,272,35.1,73,0.231,0.415,0.316,21.2,17.8,15.5,0.243,0.454,0.332,47.2
"Banks, Tanner",621383,2024,PHI,FF,4-Seam Fastball,0.4,1,363,30.9,97,0.207,0.305,0.281,28.2,41.2,23.4,0.207,0.359,0.3,47.7
"Barlow, Scott",605130,2024,CLE,FF,4-Seam Fastball,-0.3,-1,209,20.5,45,0.308,0.41,0.366,17.6,8.9,11.8,0.362,0.459,0.401,51.4
"Barnes, Jacob",606930,2024,WSH,FF,4-Seam Fastball,-0.5,-3,527,47.2,129,0.267,0.5,0.379,19.6,18.6,13.6,0.281,0.544,0.375,52.1
"Barnes, Matt",598264,2024,WSH,FF,4-Seam Fastball,0.8,1,93,39.2,29,0.259,0.333,0.29,18.8,17.2,17.9,0.302,0.538,0.384,54.5
"Bassitt, Chris",605135,2024,TOR,FF,4-Seam Fastball,-3,-4,133,4.5,36,0.242,0.394,0.308,25,33.3,19,0.221,0.311,0.27,28.6
"Basso, Brady",669620,2024,OAK,FF,4-Seam Fastball,1.9,3,164,46.9,43,0.225,0.325,0.271,16.5,14,15,0.274,0.41,0.323,50
"Baumann, Mike",657508,2024,MIA,FF,4-Seam Fastball,-0.6,-3,432,40.5,95,0.289,0.618,0.431,19.5,10.5,9,0.262,0.511,0.4,55.1
"Baz, Shane",669358,2024,TB,FF,4-Seam Fastball,0.8,4,578,47.9,149,0.252,0.37,0.324,22.1,18.1,19.4,0.226,0.384,0.316,47.1
"Bazardo, Eduard",660825,2024,SEA,FF,4-Seam Fastball,0,0,119,27,30,0.24,0.36,0.333,23.7,23.3,22.6,0.193,0.351,0.311,38.9
"Beck, Tristan",663941,2024,SF,FF,4-Seam Fastball,3.1,4,122,50.4,28,0.13,0.217,0.254,20,17.9,19.2,0.168,0.363,0.296,15.8
"Bednar, David",670280,2024,PIT,FF,4-Seam Fastball,-1,-6,568,55.5,158,0.256,0.459,0.377,24.1,18.4,16.7,0.244,0.478,0.364,42.5
"Beede, Tyler",595881,2024,CLE,FF,4-Seam Fastball,-4.5,-4,78,29.4,19,0.4,0.8,0.536,15.6,15.8,14.3,0.276,0.357,0.348,38.5
